12:11:17.610 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:17.681 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:18.775 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:18.778 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:18.784 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:19.622 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:19.659 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:19.674 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:20.381 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:20.386 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:20.392 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:20.675 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:20.679 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:20.679 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:21.661 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:21.665 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:21.666 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:22.381 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:22.385 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:22.391 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:22.508 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:22.512 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:22.512 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:22.765 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:22.770 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:22.770 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:23.663 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:23.672 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:23.674 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:24.565 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:24.569 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:24.574 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:25.666 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:25.668 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:25.672 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:26.404 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:26.409 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:26.457 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:26.582 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:26.585 [main] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:26.594 [Thread-0] INFO  c.d.edgefs.edge.server.EdgeServer - Starting the Edge Server.. 
12:11:31.164 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:31.165 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:31.167 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - Sending heartbeat to FogIp : 172.10.20.0 and port : 9000
12:11:31.189 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - Received heartbeat response from FogIp : 172.10.20.0 and port : 9000
12:11:32.696 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:32.697 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:32.698 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - Sending heartbeat to FogIp : 172.10.20.1 and port : 9001
12:11:32.757 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - Received heartbeat response from FogIp : 172.10.20.1 and port : 9001
12:11:33.163 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - The total free space available is (in MB) 16000
12:11:33.163 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - The encoded space is 77
12:11:33.164 [Thread-2] INFO  com.dreamlab.edgefs.edge.model.Edge - Sending heartbeat to FogIp : 172.10.20.1 and port : 9001
